Character,Strokes,Composition,Character1,Strokes1,Verification1,Character2,Strokes2,Verification2,Cangjie,Radical
乧,5.0,吕,斗,4.0,,乙,1.0,,YJN,乙
乨,6.0,吅,台,5.0,,乚,1.0,,IRU,乙
乩,6.0,吅,占,5.0,,乚,1.0,,YRU,乙
乪,6.0,吅,乙,1.0,,田,5.0,,NW,乙
乫,6.0,吕,加,5.0,,乙,1.0,,KRN,乙
乬,5.0,吕,巨,4.0,,乙,1.0,,SSN,乙
乭,6.0,吕,石,5.0,,乙,1.0,,MRN,乙
乮,6.0,吕,卯,5.0,,乙,1.0,,HLN,乙
乯,6.0,吕,乎,5.0,,乙,1.0,,HFDN,乙
买,6.0,吕,乛,1.0,,头,5.0,,NYK,乙
乱,7.0,吅,舌,6.0,,乚,1.0,,HRU,乙
乲,7.0,吕,次,6.0,,乙,1.0,,ION,乙
乳,8.0,吅,孚,7.0,,乚,1.0,,BDU,乙
乴,8.0,吕,折,7.0,,乙,1.0,,QLN,乙
乵,8.0,吅,辛,7.0,,乚,1.0,,YJU,乙
乶,8.0,吕,甫,7.0,,乙,1.0,,IBN,乙
乷,8.0,吕,沙,7.0,,乙,1.0,,EHN,乙
乸,8.0,吅,也,3.0,,母,5.0,,PDWYI,乙
乹,9.0,吅,𠦝,8.0,?,乚,1.0,,JJU,乙
乺,9.0,吕,所,8.0,,乙,1.0,,HLN,乙
乻,9.0,吕,於,8.0,,乙,1.0,,YYN,乙
乼,9.0,吕,注,8.0,,乙,1.0,,EGN,乙
乽,9.0,吕,者,8.0,,乙,1.0,,JAN,乙
乾,10.0,吅,車,7.0,,乞,3.0,,JJON,乙
乿,11.0,吅,爫糸,10.0,?,乚,1.0,,BFU,乙
亀,11.0,一,亀,11.0,,*,0.0,,NWLU,乙
亁,12.0,吅,十日干,9.0,?,乞,3.0,,JJON,乙
亂,13.0,吅,𤔔,12.0,,乚,1.0,,BBU,乙
亃,13.0,吅,粦,12.0,,乚,1.0,,FQU,乙
亄,13.0,吅,壹,12.0,,乚,1.0,,GTU,乙
亅,1.0,一,亅,1.0,,*,0.0,,LI,*
了,2.0,一,了,2.0,,*,0.0,,NN,亅
亇,3.0,吕,人*,2.0,?,亅,1.0,,ON,亅
予,4.0,吕,龴,2.0,,丁,2.0,,NINN,亅
争,6.0,吕,𠂊,2.0,?,肀,4.0,,NSD,亅
亊,7.0,+,丁丷,3.0,?,肀,4.0,?,JFLN,亅
事,8.0,一,事,8.0,,*,0.0,,JLLN,亅
二,2.0,一,二,2.0,,*,0.0,,MM,*
亍,3.0,吕,二,2.0,,亅,1.0,,MMN,二
于,3.0,+,二,2.0,,亅,1.0,,MD,二
亏,3.0,吕,一,1.0,,丂,2.0,,MMVS,二
亐,3.0,一,亐,3.0,,*,0.0,,MKS,二
云,4.0,吕,二,2.0,,厶,2.0,,MMI,二
互,4.0,吕,一,1.0,,彑,3.0,,MVNM,二
亓,4.0,吕,二,2.0,,儿*,2.0,?,MML,二
五,4.0,一,五,4.0,,*,0.0,,MDM,二
井,4.0,一,井,4.0,,*,0.0,,TT,二
亖,4.0,吕,二,2.0,,*,2.0,,MMMM,二
亗,5.0,吕,山,3.0,,二,2.0,,UMM,二
亘,6.0,回,二,2.0,,日,4.0,,MAM,二
亙,6.0,回,二,2.0,,匀,4.0,,MBM,二
亚,6.0,一,亚,6.0,,*,0.0,,MTC,二
些,8.0,吕,此,6.0,,二,2.0,,YPMM,二
亜,7.0,一,亜,7.0,,*,0.0,,MLLM,二
亝,8.0,吕,厽,6.0,,二,2.0,,IIIM,二
亞,8.0,一,亞,8.0,,*,0.0,,MLLM,二
亟,8.0,回,二,2.0,,口勹 又,6.0,?,NEM,二
亠,2.0,一,亠,2.0,,*,0.0,,IM,*
亡,3.0,+,亠,2.0,,乚,1.0,,YV,亠
亢,4.0,吕,亠,2.0,,几,2.0,,YHN,亠
亣,4.0,吕,亠,2.0,,儿*,2.0,?,YLL,亠
交,6.0,吕,亠,2.0,,父,4.0,,YCK,亠
亥,6.0,吕,亠,2.0,,?人,4.0,?,YVHO,亠
亦,6.0,一,亦,6.0,,*,0.0,,YLNC,亠
产,6.0,吕,六,4.0,*,厂,2.0,,YTH,亠
亨,7.0,吕,亠口,5.0,?,了,2.0,,YRNN,亠
亩,7.0,吕,亠,2.0,,田,5.0,,YW,亠
亪,7.0,吕,亦,6.0,,乁,1.0,,YCMO,亠
享,8.0,吕,亠口,5.0,?,子,3.0,,YRND,亠
京,8.0,吕,亠口,5.0,?,小,3.0,,YRF,亠
亭,9.0,冖,亠口,5.0,?,丁,2.0,,YRBN,亠
亮,9.0,冖,亠口,5.0,?,儿,2.0,,YRBU,亠
亯,9.0,吕,亠口,5.0,?,日,4.0,,YRA,亠
亰,9.0,吕,亠,2.0,,𣌢,7.0,,YAF,亠
亱,9.0,吕,亠,2.0,,但,7.0,,YOAM,亠
亲,9.0,吕,立,5.0,,朩,4.0,,YTD,亠
亳,10.0,冖,亠口,5.0,?,乇,3.0,,YRBP,亠
亴,12.0,冖,亠口,5.0,?,土九,5.0,?,YRBN,亠
