Character,Strokes,Composition,Character1,Strokes1,Verification1,Character2,Strokes2,Verification2,Cangjie,Radical
叟,9.0,+,𦥔,7.0,,又,2.0,,HXLE,又
叠,13.0,冖,叒,6.0,,且,5.0,,EEEM,又
叡,16.0,吅,睿,14.0,,又,2.0,,YUE,又
叢,18.0,吕,菐*,10.0,?,取,8.0,,TCTE,又
口,3.0,一,口,3.0,,*,0.0,,R,*
古,5.0,+,十,2.0,,口,3.0,,JR,口
句,5.0,回,勹,2.0,,口,3.0,,PR,口
另,5.0,吕,口,3.0,,力,2.0,,RKS,口
叧,5.0,吕,口,3.0,,刀,2.0,,RSH,口
叨,5.0,吅,口,3.0,,刀,2.0,,RSH,口
叩,5.0,吅,口,3.0,,卩,2.0,,RSL,口
只,5.0,吕,口,3.0,,八,2.0,,RC,口
叫,5.0,吅,口,3.0,,丩,2.0,,RVL,口
召,5.0,吕,刀,2.0,,口,3.0,,SHR,口
叭,5.0,吅,口,3.0,,八,2.0,,RC,口
叮,5.0,吅,口,3.0,,丁,2.0,,RMN,口
可,5.0,吅,口,3.0,,丁,2.0,,MNR,口
台,5.0,吕,厶,2.0,,口,3.0,,IR,口
叱,5.0,吅,口,3.0,,七,2.0,,RP,口
史,5.0,+,口,3.0,,乂,2.0,,LK,口
右,5.0,吕,𠂇,2.0,,口,3.0,,KR,口
叴,5.0,吕,九,2.0,,口,3.0,,KNR,口
叵,5.0,吅,匚,2.0,,口,3.0,,SR,口
叶,5.0,吅,口,3.0,,十,2.0,,RJ,口
号,5.0,吕,口,3.0,,丂,2.0,,RMVS,口
司,5.0,吕,𠃌,1.0,?,𠮛,4.0,,SMR,口
叹,5.0,吅,口,3.0,,又,2.0,,RE,口
叺,5.0,吅,口,3.0,,入,2.0,,RO,口
叻,5.0,吅,口,3.0,,力,2.0,,RKS,口
叼,5.0,吅,口,3.0,,刁,2.0,,RSM,口
叽,5.0,吅,口,3.0,,几,2.0,,RHN,口
叾,5.0,吕,了,2.0,,口,3.0,,NNR,口
叿,6.0,吅,口,3.0,,工,3.0,,RM,口
吀,6.0,吅,口,3.0,,千,3.0,,RHJ,口
吁,6.0,吅,口,3.0,,于,3.0,,RMD,口
吂,6.0,吕,亡,3.0,,口,3.0,,YVR,口
吃,6.0,吅,口,3.0,,乞,3.0,,RON,口
各,6.0,吕,夂,3.0,,口,3.0,,HER,口
吅,6.0,吅,口,3.0,,*,3.0,,RR,口
吆,6.0,吅,口,3.0,,幺,3.0,,RVI,口
吇,6.0,吅,口,3.0,,子,3.0,,RND,口
合,6.0,吕,亼,3.0,,口,3.0,,OMR,口
吉,6.0,吕,士,3.0,,口,3.0,,GR,口
吊,6.0,吕,口,3.0,,巾,3.0,,RLB,口
吋,6.0,吅,口,3.0,,寸,3.0,,RDI,口
同,6.0,回,冂,2.0,,𠮛,4.0,,BMR,口
名,6.0,吕,夕,3.0,,口,3.0,,NIR,口
后,6.0,吕,⺁,2.0,?,𠮛,4.0,,HMR,口
吏,6.0,+,丈,3.0,?,口,3.0,,JLK,口
吐,6.0,吅,口,3.0,,土,3.0,,RG,口
向,6.0,吕,丶,1.0,,冋,5.0,,HBR,口
吒,6.0,吅,口,3.0,,乇,3.0,,RHP,口
吓,6.0,吅,口,3.0,,下,3.0,,RMY,口
吔,6.0,吅,口,3.0,,也,3.0,,RPD,口
吕,6.0,吕,口,3.0,,*,3.0,,RR,口
吖,6.0,吅,口,3.0,,丫,3.0,,RCL,口
吗,6.0,吅,口,3.0,,马,3.0,,RNVM,口
吘,7.0,吅,口,3.0,,午,4.0,,ROJ,口
吙,7.0,吅,口,3.0,,火,4.0,,RF,口
吚,7.0,吅,口,3.0,,尹,4.0,,RSK,口
君,7.0,吕,尹,4.0,,口,3.0,,SKR,口
吜,7.0,吅,口,3.0,,丑,4.0,,RNG,口
吝,7.0,吕,文,4.0,,口,3.0,,YKR,口
吞,7.0,吕,天,4.0,,口,3.0,,MKR,口
吟,7.0,吅,口,3.0,,今,4.0,,ROIN,口
吠,7.0,吅,口,3.0,,犬,4.0,,RIK,口
吡,7.0,吅,口,3.0,,比,4.0,,RPP,口
吢,7.0,吕,心,4.0,,口,3.0,,PR,口
吣,7.0,吅,口,3.0,,心,4.0,,RP,口
吤,7.0,吅,口,3.0,,介,4.0,,ROLL,口
吥,7.0,吅,口,3.0,,不,4.0,,RMF,口
否,7.0,吕,不,4.0,,口,3.0,,MFR,口
吧,7.0,吅,口,3.0,,巴,4.0,,RAU,口
吨,7.0,吅,口,3.0,,屯,4.0,,RPU,口
吩,7.0,吅,口,3.0,,分,4.0,,RCSH,口
吪,7.0,吅,口,3.0,,化,4.0,,ROP,口
含,7.0,吕,今,4.0,,口,3.0,,OINR,口
听,7.0,吅,口,3.0,,斤,4.0,,RHML,口
吭,7.0,吅,口,3.0,,亢,4.0,,RYHN,口
吮,7.0,吅,口,3.0,,允,4.0,,RIHU,口
启,7.0,吕,户,4.0,,口,3.0,,ISR,口
吰,7.0,吅,口,3.0,,厷,4.0,,RKI,口
吱,7.0,吅,口,3.0,,支,4.0,,RJE,口
吲,7.0,吅,口,3.0,,引,4.0,,RNL,口
吳,7.0,吕,口,3.0,,夬,4.0,*,RVNK,口
吴,7.0,吕,口,3.0,,天,4.0,,RMK,口
吵,7.0,吅,口,3.0,,少,4.0,,RFH,口
吶,7.0,吅,口,3.0,,內,4.0,,ROB,口
吷,7.0,吅,口,3.0,,夬,4.0,,RDK,口
吸,6.0,吅,口,3.0,,及,3.0,,RNHE,口
吹,7.0,吅,口,3.0,,欠,4.0,,RNO,口
吺,7.0,吅,口,3.0,,殳,4.0,,RHNE,口
吻,7.0,吅,口,3.0,,勿,4.0,,RPHH,口
吼,7.0,吅,口,3.0,,孔,4.0,,RNDU,口
吽,7.0,吅,口,3.0,,牛,4.0,,RHQ,口
吾,7.0,吕,五,4.0,,口,3.0,,MMR,口
吿,7.0,吕,牛,4.0,,口,3.0,,HQR,口
呀,7.0,吅,口,3.0,,牙,4.0,,RMVH,口
呁,7.0,吅,口,3.0,,匀,4.0,,RPMM,口
呂,7.0,吕,口,3.0,,丶口,4.0,?,RHR,口
呃,7.0,吅,口,3.0,,厄,4.0,,RMSU,口
呄,7.0,吕,乃,2.0,,古,5.0,,NSJR,口
呅,7.0,吅,口,3.0,,文,4.0,,RYK,口
呆,7.0,吕,口,3.0,,木,4.0,,RD,口
呇,7.0,吕,水,4.0,,口,3.0,,ER,口
呈,7.0,吕,口,3.0,,王,4.0,,RMG,口
呉,7.0,*,吳,7.0,,*,0.0,,RVNC,口
告,7.0,吕,牛,4.0,,口,3.0,,HGR,口
呋,7.0,吅,口,3.0,,夫,4.0,,RQO,口
呌,7.0,吅,口,3.0,,斗,4.0,,RYJ,口
呍,7.0,吅,口,3.0,,云,4.0,,RMMI,口
呎,7.0,吅,口,3.0,,尺,4.0,,RSO,口
呏,7.0,吅,口,3.0,,升,4.0,,RHT,口
呐,7.0,吅,口,3.0,,内,4.0,,ROB,口
呑,7.0,吕,夭,4.0,,口,3.0,,HKR,口
呒,7.0,吅,口,3.0,,无,4.0,,RMKU,口
呓,7.0,吅,口,3.0,,艺,4.0,,RTN,口
呔,7.0,吅,口,3.0,,太,4.0,,RKI,口
呕,7.0,吅,口,3.0,,区,4.0,,RSK,口
呖,7.0,吅,口,3.0,,历,4.0,,RMKS,口
呗,7.0,吅,口,3.0,,贝,4.0,,RBO,口
员,7.0,吕,口,3.0,,贝,4.0,,RBO,口
呙,7.0,吕,口,3.0,,内,4.0,,ROB,口
呚,7.0,吅,口,3.0,,攵,4.0,,ROK,口
呛,7.0,吅,口,3.0,,仓,4.0,,ROSU,口
呜,7.0,吅,口,3.0,,乌,4.0,,RPVM,口
呝,8.0,吅,口,3.0,,戹,5.0,,RHSN,口
呞,8.0,吅,口,3.0,,司,5.0,,RSMR,口
呟,8.0,吅,口,3.0,,玄,5.0,,RYVI,口
呠,8.0,吅,口,3.0,,本,5.0,,RDM,口
呡,8.0,吅,口,3.0,,民,5.0,,RRVP,口
呢,8.0,吅,口,3.0,,尼,5.0,,RSP,口
呣,8.0,吅,口,3.0,,母,5.0,,RWYI,口
呤,8.0,吅,口,3.0,,令,5.0,,ROII,口
呥,8.0,吅,口,3.0,,冉,5.0,,RGB,口
呦,8.0,吅,口,3.0,,幼,5.0,,RVIS,口
呧,8.0,吅,口,3.0,,氐,5.0,,RHPM,口
周,8.0,回,冂,2.0,,吉,6.0,,BGR,口
呩,8.0,吅,口,3.0,,示,5.0,,RMMF,口
呪,8.0,吅,口,3.0,,兄,5.0,,RRHU,口
呫,8.0,吅,口,3.0,,占,5.0,,RYR,口
呬,8.0,吅,口,3.0,,四,5.0,,RWC,口
呭,7.0,吅,口,3.0,,世,4.0,,RPT,口
呮,8.0,吅,口,3.0,,只,5.0,,RRC,口
呯,8.0,吅,口,3.0,,平,5.0,,RMFJ,口
呰,9.0,吕,此,6.0,,口,3.0,,YPR,口
呱,8.0,吅,口,3.0,,瓜,5.0,,RHVO,口
呲,9.0,吅,口,3.0,,此,6.0,,RYMP,口
味,8.0,吅,口,3.0,,未,5.0,,RJD,口
呴,8.0,吅,口,3.0,,句,5.0,,RPR,口
呵,8.0,吅,口,3.0,,可,5.0,,RMNR,口
呶,8.0,吅,口,3.0,,奴,5.0,,RVE,口
呷,8.0,吅,口,3.0,,甲,5.0,,RWL,口
呸,8.0,吅,口,3.0,,丕,5.0,,RMFM,口
呹,8.0,吅,口,3.0,,失,5.0,,RHQO,口
呺,8.0,吅,口,3.0,,号,5.0,,RRMS,口
呻,8.0,吅,口,3.0,,申,5.0,,RLWL,口
呼,8.0,吅,口,3.0,,乎,5.0,,RHFD,口
命,8.0,吕,亼,3.0,,叩,5.0,,OMRL,口
呾,8.0,吅,口,3.0,,旦,5.0,,RAM,口
呿,8.0,吅,口,3.0,,去,5.0,,RGI,口
咀,8.0,吅,口,3.0,,且,5.0,,RBM,口
咁,8.0,吅,口,3.0,,甘,5.0,,RTM,口
咂,8.0,吅,口,3.0,,匝,5.0,,RSLB,口
咃,8.0,吅,口,3.0,,他,5.0,,ROPD,口
咄,8.0,吅,口,3.0,,出,5.0,,RUU,口
咅,8.0,吕,立,5.0,,口,3.0,,YTR,口
咆,8.0,吅,口,3.0,,包,5.0,,RPRU,口
咇,8.0,吅,口,3.0,,必,5.0,,RPH,口
咈,8.0,吅,口,3.0,,弗,5.0,,RLLN,口
咉,8.0,吅,口,3.0,,央,5.0,,RLBK,口
咊,8.0,吅,口,3.0,,禾,5.0,,RHD,口
咋,8.0,吅,口,3.0,,乍,5.0,,ROS,口
和,8.0,吅,禾,5.0,,口,3.0,,HDR,口
咍,8.0,吅,口,3.0,,台,5.0,,RIR,口
咎,8.0,吕,处,5.0,,口,3.0,,HYR,口
咏,8.0,吅,口,3.0,,永,5.0,,RINE,口
咐,8.0,吅,口,3.0,,付,5.0,,RODI,口
咑,8.0,吅,口,3.0,,打,5.0,,RQMN,口
咒,8.0,咒,口,3.0,,几,2.0,,RRHN,口
咓,8.0,吅,口,3.0,,瓦,5.0,,RMVN,口
咔,8.0,吅,口,3.0,,卡,5.0,,RYMY,口
咕,8.0,吅,口,3.0,,古,5.0,,RJR,口
咖,8.0,吅,口,3.0,,加,5.0,,RKSR,口
咗,8.0,吅,口,3.0,,左,5.0,,RKM,口
咘,8.0,吅,口,3.0,,布,5.0,,RKLB,口
咙,8.0,吅,口,3.0,,龙,5.0,,RIKP,口
咚,8.0,吅,口,3.0,,冬,5.0,,RHEY,口
咛,8.0,吅,口,3.0,,宁,5.0,,RJMN,口
咜,8.0,吅,口,3.0,,它,5.0,,RJP,口
咝,8.0,吅,口,3.0,,丝,5.0,,RVVM,口
咞,7.0,吅,口,3.0,,开,4.0,,RMT,口
咟,9.0,吅,口,3.0,,百,6.0,,RMA,口
咠,9.0,吕,口,3.0,,耳,6.0,,RSJ,口
咡,9.0,吅,口,3.0,,耳,6.0,,RSJ,口
咢,9.0,咒,口,3.0,,亏,3.0,,RRMMS,口
咣,9.0,吅,口,3.0,,光,6.0,,RFMU,口
咤,9.0,吅,口,3.0,,宅,6.0,,RJHP,口
咥,9.0,吅,口,3.0,,至,6.0,,RMIG,口
咦,9.0,吅,口,3.0,,夷,6.0,,RKN,口
咧,9.0,吅,口,3.0,,列,6.0,,RMNN,口
咨,9.0,吕,次,6.0,,口,3.0,,MOR,口
咩,9.0,吅,口,3.0,,羊,6.0,,RTQ,口
咪,9.0,吅,口,3.0,,米,6.0,,RFD,口
咫,9.0,吅,尺,4.0,,只,5.0,,SORC,口
咬,9.0,吅,口,3.0,,交,6.0,,RYCK,口
咭,9.0,吅,口,3.0,,吉,6.0,,RGR,口
咮,9.0,吅,口,3.0,,朱,6.0,,RHJD,口
咯,9.0,吅,口,3.0,,各,6.0,,RHER,口
咰,9.0,吅,口,3.0,,旬,6.0,,RPA,口
咱,9.0,吅,口,3.0,,自,6.0,,RHBU,口
咲,9.0,吅,口,3.0,,关,6.0,,RTK,口
咳,9.0,吅,口,3.0,,亥,6.0,,RYVO,口
咴,9.0,吅,口,3.0,,灰,6.0,,RKF,口
咵,9.0,吅,口,3.0,,夸,6.0,,RKMS,口
咶,9.0,吅,口,3.0,,舌,6.0,,RHJR,口
咷,9.0,吅,口,3.0,,兆,6.0,,RLMO,口
咸,9.0,回,戌,6.0,,口,3.0,,IHMR,口
咹,9.0,吅,口,3.0,,安,6.0,,RJV,口
咺,9.0,吅,口,3.0,,亘,6.0,,RMAM,口
咻,9.0,吅,口,3.0,,休,6.0,,ROD,口
咼,9.0,吕,冎,6.0,,口,3.0,,BBR,口
咽,9.0,吅,口,3.0,,因,6.0,,RWK,口
咾,9.0,吅,口,3.0,,老,6.0,,RJKP,口
咿,9.0,吅,口,3.0,,伊,6.0,,ROSK,口
哀,9.0,回,衣,6.0,,口,3.0,,YRHV,口
品,9.0,品,口,3.0,,*,6.0,,RRR,口
哂,9.0,吅,口,3.0,,西,6.0,,RMCW,口
哃,9.0,吅,口,3.0,,同,6.0,,RBMR,口
哄,9.0,吅,口,3.0,,共,6.0,,RTC,口
哅,9.0,吅,口,3.0,,匈,6.0,,RPUK,口
哆,9.0,吅,口,3.0,,多,6.0,,RNIN,口
哇,9.0,吅,口,3.0,,圭,6.0,,RGG,口
哈,9.0,吅,口,3.0,,合,6.0,,ROMR,口
哉,9.0,回,𢦏,6.0,?,口,3.0,,JIR,口
哊,9.0,吅,口,3.0,,有,6.0,,RKB,口
哋,9.0,吅,口,3.0,,地,6.0,,RGPD,口
哌,9.0,吅,口,3.0,,辰?,6.0,?,RHHV,口
响,9.0,吅,口,3.0,,向,6.0,,RHBR,口
哎,8.0,吅,口,3.0,,艾,5.0,,RTK,口
哏,9.0,吅,口,3.0,,艮,6.0,,RAV,口
哐,9.0,吅,口,3.0,,匡,6.0,,RSMG,口
哑,9.0,吅,口,3.0,,亚,6.0,,RMTC,口
哒,9.0,吅,口,3.0,,达,6.0,,RYK,口
哓,9.0,吅,口,3.0,,尧,6.0,,RJPU,口
哔,9.0,吅,口,3.0,,毕,6.0,,RPPJ,口
哕,9.0,吅,口,3.0,,岁,6.0,,RUNI,口
哖,9.0,吅,口,3.0,,年,6.0,,ROQ,口
哗,9.0,吅,口,3.0,,华,6.0,,ROPJ,口
哘,9.0,吅,口,3.0,,行,6.0,,RHON,口
哙,9.0,吅,口,3.0,,会,6.0,,ROMI,口
哚,9.0,吅,口,3.0,,朵,6.0,,RHND,口
哛,9.0,吕,叱,5.0,,分,4.0,,RPCSH,口
哜,9.0,吅,口,3.0,,齐,6.0,,RYKL,口
哝,9.0,吅,口,3.0,,农,6.0,,RHBV,口
哞,9.0,吅,口,3.0,,牟,6.0,,RIHQ,口
哟,9.0,吅,口,3.0,,约,6.0,,RVMI,口
哠,10.0,吅,口,3.0,,告,7.0,,RHGR,口
員,10.0,吕,口,3.0,,貝,7.0,,RBUC,口
哢,10.0,吅,口,3.0,,弄,7.0,,RMGT,口
哣,10.0,吅,口,3.0,,豆,7.0,,RMRT,口
哤,10.0,吅,口,3.0,,尨,7.0,,RIUH,口
哥,10.0,吕,可,5.0,,*,5.0,,MRNR,口
哦,10.0,吅,口,3.0,,我,7.0,,RHQI,口
哧,10.0,吅,口,3.0,,赤,7.0,,RGLC,口
哨,10.0,吅,口,3.0,,肖,7.0,,RFB,口
哩,11.0,吅,口,3.0,,里,8.0,,RWG,口
哪,10.0,吅,口,3.0,,那,7.0,,RSQL,口
哫,10.0,吅,口,3.0,,足,7.0,,RRYO,口
哬,10.0,吅,口,3.0,,何,7.0,,ROMR,口
哭,10.0,咒,口,3.0,,犬,4.0,,RRIK,口
哮,10.0,吅,口,3.0,,孝,7.0,,RJKD,口
哯,10.0,吅,口,3.0,,見,7.0,,RBUU,口
哰,10.0,吅,口,3.0,,牢,7.0,,RJHQ,口
哱,10.0,吅,口,3.0,,孛,7.0,,RJBD,口
哲,10.0,吕,折,7.0,,口,3.0,,QLR,口
哳,10.0,吅,口,3.0,,折,7.0,,RQHL,口
哴,10.0,吅,口,3.0,,良,7.0,,RIAV,口
哵,10.0,吅,口,3.0,,别,7.0,,RRSN,口
哶,10.0,吅,口,3.0,,芈,7.0,,RTMJ,口
哷,10.0,吅,口,3.0,,寽,7.0,,RBDI,口
哸,10.0,吅,口,3.0,,妥,7.0,,RBV,口
哹,10.0,吅,口,3.0,,孚,7.0,,RBND,口
哺,10.0,吅,口,3.0,,甫,7.0,,RIJB,口
哻,10.0,吅,口,3.0,,旱,7.0,,RAMJ,口
哼,10.0,吅,口,3.0,,亨,7.0,,RYRN,口
哽,10.0,吅,口,3.0,,更,7.0,,RMLK,口
哾,10.0,吅,口,3.0,,兌,7.0,,RCRU,口
哿,10.0,吕,加,5.0,,可,5.0,,KRMNR,口
唀,10.0,吅,口,3.0,,秀,7.0,,RHDS,口
唁,10.0,吅,口,3.0,,言,7.0,,RYMR,口
唂,10.0,吅,口,3.0,,谷,7.0,,RCOR,口
唃,10.0,吅,口,3.0,,角,7.0,,RNBG,口
唄,10.0,吅,口,3.0,,貝,7.0,,RBUC,口
唅,10.0,吅,口,3.0,,含,7.0,,ROIR,口
唆,10.0,吅,口,3.0,,夋,7.0,,RICE,口
唇,10.0,吕,辰,7.0,,口,3.0,,MVR,口
唈,10.0,吅,口,3.0,,邑,7.0,,RRAU,口
唉,10.0,吅,口,3.0,,矣,7.0,,RIOK,口
唊,11.0,吅,口,3.0,,夾,8.0,,RKOO,口
唋,10.0,吅,口,3.0,,余,7.0,,ROMD,口
唌,11.0,吅,口,3.0,,延,8.0,,RNKM,口
唍,10.0,吅,口,3.0,,完,7.0,,RJMU,口
唎,10.0,吅,口,3.0,,利,7.0,,RHDN,口
唏,10.0,吅,口,3.0,,希,7.0,,RKKB,口
唐,10.0,吕,广肀,7.0,?,口,3.0,,ILR,口
唑,10.0,吅,口,3.0,,坐,7.0,,ROOG,口
唒,10.0,吅,口,3.0,,酉,7.0,,RMCW,口
唓,10.0,吅,口,3.0,,車,7.0,,RJWJ,口
唔,10.0,吅,口,3.0,,吾,7.0,,RMMR,口
唕,10.0,吅,口,3.0,,皁,7.0,,RHAJ,口
唖,10.0,吅,口,3.0,,亜,7.0,,RMLM,口
唗,10.0,吅,口,3.0,,走,7.0,,RGYO,口
唘,10.0,吕,石又,7.0,?,口,3.0,,MER,口
唙,10.0,吅,口,3.0,,狄,7.0,,RKHF,口
唚,10.0,吅,口,3.0,,𠬶,7.0,,RSME,口
唛,10.0,吅,口,3.0,,麦,7.0,,RQME,口
唜,10.0,吕,末,5.0,,叱,5.0,,DJRP,口
唝,10.0,吅,口,3.0,,贡,7.0,,RMBO,口
唞,10.0,吅,口,3.0,,抖,7.0,,RQYJ,口
唟,10.0,吕,去,5.0,,叱,5.0,,GIRP,口
唠,10.0,吅,口,3.0,,劳,7.0,,RTBS,口
唡,10.0,吅,口,3.0,,两,7.0,,RMOB,口
唢,10.0,吅,口,3.0,,?贝,7.0,?,RFBO,口
唣,10.0,吅,口,3.0,,皂,7.0,,RHAP,口
唤,10.0,吅,口,3.0,,奂,7.0,,RNBK,口
唥,10.0,吅,口,3.0,,冷,7.0,,RIMI,口
唦,10.0,吅,口,3.0,,沙,7.0,,REFH,口
唧,11.0,吅,口,3.0,,即,8.0,,RAIL,口
唨,11.0,吅,口,3.0,,阻,8.0,,RNLM,口
唩,11.0,吅,口,3.0,,委,8.0,,RHDV,口
唪,11.0,吅,口,3.0,,奉,8.0,,RQKQ,口
唫,11.0,吅,口,3.0,,金,8.0,,RC,口
唬,11.0,吅,口,3.0,,虎,8.0,,RYPU,口
唭,11.0,吅,口,3.0,,其,8.0,,RTMC,口
售,11.0,吕,隹,8.0,,口,3.0,,OGR,口
唯,11.0,吅,口,3.0,,隹,8.0,,ROG,口
唰,11.0,吅,口,3.0,,刷,8.0,,RSBN,口
唱,11.0,吅,口,3.0,,昌,8.0,,RAA,口
唲,11.0,吅,口,3.0,,兒,8.0,,RHXU,口
唳,10.0,吅,口,3.0,,戾,7.0,,RISK,口
唴,11.0,吅,口,3.0,,羌,8.0,,RTGU,口
唵,11.0,吅,口,3.0,,奄,8.0,,RKLU,口
唶,11.0,吅,口,3.0,,昔,8.0,,RTA,口
唷,11.0,吅,口,3.0,,育,8.0,,RYIB,口
唸,11.0,吅,口,3.0,,念,8.0,,ROIP,口
唹,11.0,吅,口,3.0,,於,8.0,,RYSY,口
唺,11.0,吅,口,3.0,,典,8.0,,RTBC,口
唻,11.0,吅,口,3.0,,來,8.0,,RDOO,口
唼,11.0,吅,口,3.0,,妾,8.0,,RYTV,口
唽,11.0,吅,口,3.0,,析,8.0,,RDHL,口
唾,11.0,吅,口,3.0,,垂,8.0,,RHJM,口
唿,11.0,吅,口,3.0,,忽,8.0,,RPHP,口
啀,11.0,吅,口,3.0,,厓,8.0,,RMGG,口
啁,11.0,吅,口,3.0,,周,8.0,,RBGR,口
啂,11.0,吅,口,3.0,,乳,8.0,,RBDU,口
啃,11.0,吅,口,3.0,,肯,8.0,,RYMB,口
啄,10.0,吅,口,3.0,,豕,7.0,,RMSO,口
啅,11.0,吅,口,3.0,,卓,8.0,,RYAJ,口
商,11.0,吕,六,4.0,*,冏,7.0,,YCBR,口
啇,11.0,吕,六,4.0,*,冂古,7.0,?,YCBR,口
啈,11.0,吅,口,3.0,,幸,8.0,,RGTJ,口
啉,11.0,吅,口,3.0,,林,8.0,,RDD,口
啊,11.0,吅,口,3.0,,阿,8.0,,RNLR,口
啋,11.0,吅,口,3.0,,采,8.0,,RBD,口
啌,11.0,吅,口,3.0,,空,8.0,,RJCM,口
啍,11.0,吅,口,3.0,,享,8.0,,RYRD,口
啎,11.0,吅,午,4.0,,吾,7.0,,OJMMR,口
問,11.0,回,門,8.0,,口,3.0,,ANR,口
啐,11.0,吅,口,3.0,,卒,8.0,,RYOJ,口
啑,11.0,吅,口,3.0,,疌,8.0,,RJLO,口
啒,11.0,吅,口,3.0,,屈,8.0,,RSUU,口
啓,11.0,吕,𢼄,8.0,?,口,3.0,,HKR,口
啔,11.0,吕,戶戈,8.0,?,口,3.0,,HIR,口
啕,11.0,吅,口,3.0,,匋,8.0,,RPOU,口
啖,11.0,吅,口,3.0,,炎,8.0,,RFF,口
啗,11.0,吅,口,3.0,,臽,8.0,,RNHX,口
啘,11.0,吅,口,3.0,,宛,8.0,,RJNU,口
啙,12.0,吕,此,6.0,,吅,6.0,,YPRR,口
啚,11.0,吕,口十,5.0,?,回,6.0,,RYWR,口
啛,11.0,吅,口,3.0,,妻,8.0,,RJLV,口
啜,11.0,吅,口,3.0,,叕,8.0,,REEE,口
啝,11.0,吅,口,3.0,,和,8.0,,RHDR,口
啞,11.0,吅,口,3.0,,亞,8.0,,RMLM,口
啟,11.0,吅,启,7.0,,攵,4.0,,HROK,口
啠,11.0,吕,斦,8.0,,口,3.0,,HLR,口
啡,11.0,吅,口,3.0,,非,8.0,,RLMY,口
啢,11.0,吅,口,3.0,,兩,8.0,,RMLB,口
啣,11.0,吅,口,3.0,,卸,8.0,,ROML,口
啤,11.0,吅,口,3.0,,卑,8.0,,RHWJ,口
啥,11.0,吅,口,3.0,,舍,8.0,,ROMR,口
啦,11.0,吅,口,3.0,,拉,8.0,,RQYT,口
啧,11.0,吅,口,3.0,,责,8.0,,RQMO,口
啨,11.0,吅,口,3.0,,青,8.0,,RQMB,口
啩,11.0,吅,口,3.0,,卦,8.0,,RGGY,口
啪,11.0,吅,口,3.0,,拍,8.0,,RQHA,口
啫,11.0,吅,口,3.0,,者,8.0,,RJKA,口
啬,11.0,吕,亠?,5.0,?,回,6.0,,GCWR,口
啭,11.0,吅,口,3.0,,转,8.0,,RKQI,口
啮,11.0,吅,口,3.0,,齿,8.0,,RYMU,口
啯,11.0,吅,口,3.0,,国,8.0,,RWMI,口
啰,11.0,吅,口,3.0,,罗,8.0,,RWLN,口
啱,11.0,吅,口,3.0,,岩,8.0,,RUMR,口
啲,11.0,吅,口,3.0,,的,8.0,,RHAI,口
啳,11.0,吅,口,3.0,,卷,8.0,,RFQU,口
啴,11.0,吅,口,3.0,,单,8.0,,RCWJ,口
啵,11.0,吅,口,3.0,,波,8.0,,REDE,口
啶,11.0,吅,口,3.0,,定,8.0,,RJMO,口
啷,12.0,吅,口,3.0,,郎,9.0,,RIIL,口
啸,11.0,吅,口,3.0,,肃,8.0,,RLX,口
啹,11.0,吅,口,3.0,,居,8.0,,RSJR,口
啺,12.0,吅,口,3.0,,昜,9.0,,RAMH,口
啻,12.0,吕,帝,9.0,,口,3.0,,YBR,口
啼,12.0,吅,口,3.0,,帝,9.0,,RYBB,口
啽,12.0,吅,口,3.0,,弇,9.0,,RORT,口
啾,12.0,吅,口,3.0,,秋,9.0,,RHDF,口
啿,12.0,吅,口,3.0,,甚,9.0,,RTMV,口
喀,12.0,吅,口,3.0,,客,9.0,,RJHR,口
喁,12.0,吅,口,3.0,,禺,9.0,,RWLB,口
喂,12.0,吅,口,3.0,,畏,9.0,,RWMV,口
喃,12.0,吅,口,3.0,,南,9.0,,RJBJ,口
善,12.0,吕,羊,6.0,,业口,6.0,?,TTR,口
喅,12.0,吅,口,3.0,,昱,9.0,,RAYT,口
喆,12.0,吅,吉,6.0,,*,6.0,,GRGR,口
喇,12.0,吅,口,3.0,,剌,9.0,,RDLN,口
喈,12.0,吅,口,3.0,,皆,9.0,,RPPA,口
喉,12.0,吅,口,3.0,,侯,9.0,,RONK,口
喊,12.0,吅,口,3.0,,咸,9.0,,RIHR,口
喋,11.0,吅,口,3.0,,枼,8.0,,RPTD,口
喌,12.0,咒,口,3.0,,州,6.0,,RRILL,口
喍,13.0,吅,口,3.0,,柴,10.0,,RYPD,口
喎,12.0,吅,口,3.0,,咼,9.0,,RBBR,口
喏,11.0,吅,口,3.0,,若,8.0,,RTKR,口
喐,12.0,吅,口,3.0,,郁,9.0,,RKBL,口
喑,12.0,吅,口,3.0,,音,9.0,,RYTA,口
喒,12.0,吅,口,3.0,,昝,9.0,,RHOA,口
喓,12.0,吅,口,3.0,,要,9.0,,RMWV,口
喔,12.0,吅,口,3.0,,屋,9.0,,RSMG,口
喕,12.0,吅,口,3.0,,面,9.0,,RMWL,口
喖,12.0,吅,口,3.0,,枯,9.0,,RDJR,口
喗,12.0,吅,口,3.0,,軍,9.0,,RBJJ,口
喘,12.0,吅,口,3.0,,耑,9.0,,RUMB,口
喙,12.0,吅,口,3.0,,彖,9.0,,RVNO,口
喚,12.0,吅,口,3.0,,奐,9.0,,RNBK,口
喛,12.0,吅,口,3.0,,爰,9.0,,RBME,口
喜,12.0,吕,壴,9.0,,口,3.0,,GRTR,口
喝,12.0,吅,口,3.0,,曷,8.0,,RAPV,口
