,Pinyin,Definition,Stroke count,Frequency rank
亮,liàng,"bright, brilliant, radiant, light",9,840
朋,péng,"friend, pal, acquaintance",8,882
谢,xiè,thank; decline,12,897
钟,zhōng,clock; bell,9,905
雨,yǔ,rain; rainy; KangXi radical 173,8,928
饭,fàn,"cooked rice; food, meal",7,935
睡,shuì,"sleep, doze",13,964
喝,hē,"drink; shout, call out",12,983
午,wǔ,noon; 7th terrestrial branch,4,1004
店,diàn,"shop, store; inn, hotel",8,1041
爸,bà,"father, papa",8,1050
桌,zhuō,"table, desk, stand",10,1193
菜,cài,"vegetables; dish, order; food",11,1266
茶,chá,tea,9,1272
狗,gǒu,"dog, canis familiaris",8,1281
杯,bēi,"cup, glass",8,1396
租,zū,"rent, lease; rental; tax",10,1397
昨,zuó,"yesterday; in former times, past",9,1475
漂,piào,"float, drift; tossed about",14,1568
椅,yǐ,"chair, seat",12,1663
猫,māo,cat,11,1673
喂,wèi,interjection to call attention,12,1988
苹,píng,artemisia; duckweed; apple,8,2478
