字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
容,宀谷,1,róng,容,,0.0568,391,529,0.049304919,442,628
请,言青,4,qǐng qīng qíng qìng,請,,0.0325,614,840,0.051795307,421,629
技,手支,2,jì,技,,0.062,364,556,0.051569989,422,630
齐,齐,1,qí zhāi jī jì jiǎn zī,齊,,0.0141,1033,500,0.014201255,1063,631
酉,酉,2,yǒu,酉,,0.0003,3656,569,0.000346763,3655,632
际,阝示,1,jì,際,,0.0531,415,611,0.051374644,423,633
病,疒丙,4,bìng,病,,0.0589,385,581,0.051002559,427,634
究,穴九,4,jiū jiù,究,,0.0756,301,482,0.050839771,429,635
线,糸戋,3,xiàn,綫,,0.0688,328,522,0.050779824,430,636
旨,匕甘,1,zhǐ,旨,,0.0024,2282,642,0.005472755,1685,637
似,人以,1,sì shì,似,,0.0453,475,695,0.0506744,431,638
竟,音儿,1,jìng,竟,,0.023,783,640,0.027406666,706,639
景,日京,4,jǐng yǐng,景,,0.0219,808,604,0.022086363,814,640
断,米斤,1,duàn,斷,,0.0536,414,608,0.050249603,434,641
精,米青,3,jīng jìng qíng,精,,0.0612,371,565,0.050197924,435,642
满,水艸两,1,mǎn mèn,滿,,0.056,402,592,0.050104386,436,643
牙,牙,1,yá yà,牙,,0.0139,1039,625,0.016261161,997,644
视,示见,5,shì,視,,0.0481,456,670,0.049779845,438,645
消,水肖,5,xiāo,消,,0.0569,390,587,0.049747287,439,646
农,农,1,nóng,農,,0.0889,254,397,0.045690007,465,647
卖,士买,1,mài,賣,,0.0178,903,687,0.016895773,974,648
买,买,1,mǎi,買,,0.0251,747,674,0.024696128,758,649
越,走戉,5,yuè huó,越,,0.0386,543,766,0.049434116,440,650
奇,大可,1,qí jī,奇,,0.0241,763,809,0.03716667,563,651
器,口犬,1,qì,器,,0.0467,464,682,0.04932404,441,652
星,日生,3,xīng,星,,0.0362,568,710,0.039441042,537,653
