字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
初,衣刀,1,chū,初,,0.038,550,771,0.030276891,667,897
卫,卫,1,wèi,衛,,0.0226,795,1033,0.030184386,669,898
源,水原,5,yuán,源,,0.0401,524,748,0.030048472,670,899
哥,可,1,gē,哥,,0.0201,840,858,0.022542168,804,900
险,阝佥,3,xiǎn jiǎn yán,險,,0.0161,965,1232,0.029997827,672,901
刍,刍,1,chú,芻,,0.0003,3656,871,0.00017519,3884,902
录,录,1,lù,彔,,0.0126,1100,857,0.018645608,919,903
待,彳寺,1,dài dāi,待,,0.0259,723,951,0.029847959,673,904
述,辵术,5,shù,述,,0.0308,641,868,0.029841241,674,905
降,阝夊,1,jiàng xiáng xiàng,降,,0.0259,723,898,0.025480608,744,906
豆,豆,1,dòu,豆,,0.0088,1332,852,0.004743571,1793,907
陆,阝击,1,lù liù,陸,,0.0189,871,1125,0.02967897,675,908
习,羽,2,xí,習,,0.048,458,672,0.029626775,676,909
置,网直,4,zhì,置,,0.0258,726,956,0.029588533,677,910
壴,壴,1,zhù zhǔ,壴,,0,3938,907,0,4017,911
圣,又土,1,shèng,圣,,0.0094,1284,1158,0.017374316,960,912
雷,雨田,1,léi lèi,雷,,0.0123,1120,1327,0.028539976,686,913
财,贝才,5,cái,財,,0.0241,763,995,0.028959089,680,914
环,玉不,1,huán huàn,環,,0.0414,504,728,0.028924981,681,915
排,手非,1,pái pǎi bèi,排,,0.0358,571,795,0.028907927,682,916
亢,亢,1,kàng gāng,亢,,0.0007,3168,986,0.000706445,3233,917
福,示畐,5,fú fù,福,,0.0212,820,1061,0.028873302,683,918
皇,白王,3,huáng wǎng,皇,,0.0142,1028,1185,0.02467649,759,919
纳,糸内,2,nà,納,,0.0148,1006,1281,0.028731703,684,920
屋,尸至,1,wū,屋,,0.0208,828,858,0.02045849,863,921
𡗗,𡗗,1,pěng,𡗗,,0,3938,835,0,4017,922
欢,又欠,1,huān,歡,,0.0249,750,980,0.028575117,685,923
警,敬言,4,jǐng,警,,0.0126,1100,1382,0.028520855,687,924
获,犬艸犬,1,huò,獲,,0.0259,723,951,0.028456257,688,925
模,木莫,4,mó mú,模,,0.0298,656,886,0.028366853,689,926
停,人亭,5,tíng,停,,0.0246,753,983,0.028140501,693,927
征,彳正,4,zhēng zhǐ,征,,0.0276,686,897,0.025764323,739,928
游,水斿,5,yóu liú,遊,,0.0272,695,924,0.028041795,695,929
虍,虍,1,hū,虍,,0,3938,1036,0,4017,930
树,木对,1,shù,樹,,0.0405,518,742,0.027925518,697,931
层,尸云,1,céng,層,,0.043,490,713,0.027753946,699,932
冷,仌令,2,lěng,冷,,0.0247,752,982,0.027627333,700,933
洲,水州,5,zhōu,洲,,0.0216,813,1052,0.027611313,701,934
敕,束攴,1,chì,敕,,0.0002,3788,842,0.000570014,3377,935
冲,仌中,3,chōng,沖,,0.0258,726,956,0.027584957,702,936
兆,水儿,1,zhào,兆,,0.002,2411,963,0.00268935,2242,937
昭,日召,4,zhāo,昭,,0.0014,2693,960,0.002877976,2186,938
略,田各,1,lüè lè,略,,0.0236,770,1004,0.027424754,704,939
范,艸氾,5,fàn,范,,0.033,608,836,0.027406666,705,940
室,宀至,3,shì,室,,0.0234,772,1010,0.027310027,708,941
异,巳廾,1,yì,异,,0.0268,702,930,0.027252664,709,942
激,水敫,2,jī jiāo jiào,激,,0.0318,627,854,0.027246463,710,943
汉,水又,1,hàn tān,漢,,0.0281,677,911,0.027211838,711,944
村,木寸,4,cūn,村,,0.037,563,783,0.027184448,712,945
哈,口合,2,hā hǎ hà,哈,,0.0163,957,1222,0.0271183,713,946
演,水寅,2,yǎn yàn,演,,0.0402,522,746,0.02707644,714,947
策,竹朿,2,cè,策,,0.0266,706,935,0.02707644,715,948
简,竹间,4,jiǎn,簡,,0.0301,650,877,0.027017527,716,949
卡,上下,5,qiǎ kǎ,卡,,0.0092,1300,1581,0.026998923,717,950
票,覀示,1,piào piāo,票,,0.0091,1307,1235,0.018841469,910,951
罪,网非,3,zuì,罪,,0.0186,883,1140,0.026907968,718,952
判,半刀,3,pàn,判,,0.0216,813,1052,0.026896082,719,953
差,来左,1,chà chā chāi cī,差,,0.034,593,814,0.026019615,732,954
担,手旦,4,dān dàn,擔,,0.022,804,1046,0.026765336,720,955
𢦏,戈才,3,zāi,𢦏,,0,3938,1077,0,4017,956
静,青争,2,jìng,靜,,0.0254,739,967,0.026563273,722,957
曼,冃目又,1,màn mán,曼,,0.004,1872,1072,0.010799259,1224,958
釆,釆,1,biàn,釆,,0,3938,991,8.7853E-06,3986,959
您,你心,2,nín,您,,0.0171,925,1198,0.02640462,726,960
积,禾只,1,jī,積,,0.0529,417,613,0.026211342,728,961
痛,疒甬,3,tòng,痛,,0.0206,831,1077,0.026076461,730,962
检,木佥,3,jiǎn,檢,,0.0206,831,1077,0.026052689,731,963
危,厃卩,1,wēi wéi,危,,0.0154,992,1137,0.021746319,826,964
甫,屮用,1,fǔ pǔ pù,甫,,0.0027,2189,950,0.002999938,2148,965
祭,肉又示,1,jì zhài,祭,,0.0048,1743,973,0.00481437,1782,966
富,宀畐,4,fù,富,,0.0351,578,806,0.025980339,733,967
灵,彑火,1,líng lìng,靈,,0.0229,787,1026,0.025908506,734,968
敬,苟攴,1,jìng,敬,,0.0092,1300,1251,0.011186331,1209,969
协,十办,1,xié,協,,0.0213,819,1060,0.025902821,735,970
配,酉己,1,pèi,配,,0.0344,587,816,0.025787578,738,971
登,癶豆,1,dēng dé,登,,0.0133,1062,1162,0.022060007,817,972
审,宀申,4,shěn,審,,0.0167,937,1139,0.025251155,746,973
修,攸彡,3,xiū,修,,0.028,679,912,0.025750887,740,974
刘,文刀,1,liú,劉,,0.022,804,1040,0.025115757,751,975
挥,手军,1,huī,揮,,0.0251,747,978,0.025685255,742,976
乞,气,1,qǐ qì,乞,,0.0013,2743,900,0.002104866,2425,977
胜,肉生,4,shèng shēng,胜,,0.0244,757,986,0.025614455,743,978
善,羊言,1,shàn,善,,0.0261,722,939,0.025187591,749,979
俞,亼月刀,1,yú yù shù,俞,,0.0011,2860,1041,0.000717298,3218,980
宣,宀亘,5,xuān,宣,,0.0216,813,1031,0.02431009,770,981
阶,阝介,4,jiē,階,,0.0806,283,456,0.025352445,745,982
沉,水冗,1,chén,沉,,0.0257,730,958,0.025204645,747,983
坚,臤土,3,jiān,堅,,0.0304,646,874,0.025192759,748,984
妈,女马,4,mā,媽,,0.0341,592,820,0.025127127,750,985
朋,月,1,péng,朋,,0.0135,1054,1161,0.019777884,882,986
读,言卖,1,dú dòu,讀,,0.0228,789,1027,0.024962789,752,987
啊,口阿,5,ā á ǎ à a,啊,,0.0264,713,939,0.024931782,753,988
超,走召,3,chāo chǎo chào tiào,超,,0.0231,782,1022,0.024918346,754,989
香,禾日,1,xiāng,香,,0.0199,844,1085,0.024043428,776,990
压,厂土,1,yā yà,壓,,0.0374,560,777,0.024825324,756,991
银,金艮,3,yín,銀,,0.019,866,1118,0.024782431,757,992
吴,口夭,1,wú,吳,,0.0129,1077,995,0.012729451,1135,993
戉,戉,1,yuè,戉,,0,3938,1110,0,4017,994
养,羊〢,4,yǎng yàng,養,,0.0481,456,670,0.024651684,760,995
岁,岁,1,suì,歲,,0.0239,769,992,0.024203632,772,996
伊,人尹,2,yī,伊,,0.0078,1430,1713,0.024608791,761,997
怀,心不,1,huái,懷,,0.0176,906,1172,0.024578818,762,998
副,畐刀,4,fù pì,副,,0.0228,789,1027,0.02455763,764,999
乱,舌乚,1,luàn,亂,,0.0218,809,1049,0.024533858,765,1000
抗,手亢,5,kàng káng,抗,,0.0255,737,963,0.024465642,766,1001
隋,阝𠂇土肉,1,suí duò tuō tuǒ,隋,,0.0013,2743,914,0.001235633,2819,1002
甲,甲,2,jiǎ,甲,,0.0124,1113,1000,0.013240035,1106,1003
犯,犬卩,1,fàn,犯,,0.0189,871,1125,0.024339546,767,1004
追,辵𠂤,2,zhuī duī tuī,追,,0.0185,884,1143,0.024329727,768,1005
帮,邦巾,5,bāng,幫,,0.0249,750,980,0.024322492,769,1006
佛,人弗,5,fó fú bì bó,佛,,0.0189,871,1125,0.024308539,771,1007
著,艸者,3,zhù zhuó zhe chú zhāo zháo,著,,0.0256,733,951,0.023895628,777,1008
散,龷肉攴,1,sàn sǎn,散,,0.0229,787,974,0.02032826,866,1009
航,舟亢,3,háng,航,,0.0119,1143,1420,0.02417986,773,1010
折,手斤,1,zhē zhé shé,折,,0.0137,1049,1006,0.012783714,1131,1011
优,人尤,4,yōu,優,,0.0292,666,895,0.024088906,774,1012
怪,心圣,1,guài,怪,,0.0172,919,1190,0.024082187,775,1013
辰,辰,1,chén,辰,,0.0013,2743,1118,0.002457313,2313,1014
秀,禾乃,1,xiù,秀,,0.015,1000,919,0.01272325,1136,1015
铁,金失,1,tiě dié,鐵,,0.0322,619,844,0.023667726,779,1016
斥,斤,1,chì,斥,,0.0048,1743,1179,0.004374069,1857,1017
玄,玄,1,xuán xuàn,玄,,0.0021,2376,1086,0.005245886,1717,1018
控,手空,4,kòng qiāng,控,,0.0172,919,1190,0.023598476,780,1019
税,禾兑,4,shuì tuàn tuì tuō,稅,,0.0114,1163,1437,0.023573154,781,1020
敢,攴,1,gǎn,敢,,0.017,928,1162,0.022913219,795,1021
岛,鸟山,3,dǎo,島,,0.0129,1077,1323,0.022767486,798,1022
份,人分,4,fèn bīn,份,,0.0147,1015,1288,0.023466179,784,1023
穿,穴牙,3,chuān,穿,,0.0235,771,1008,0.023417602,785,1024
艺,艸乙,4,yì,藝,,0.0525,419,618,0.02336799,786,1025
背,北肉,4,bèi bēi,背,,0.0241,763,995,0.023348869,787,1026
廷,廴𡈼,4,tíng,廷,,0.0042,1840,1134,0.005942512,1626,1027
守,宀寸,1,shǒu shòu,守,,0.0184,886,1118,0.022874977,796,1028
阵,阝车,1,zhèn,陣,,0.0172,919,1190,0.023203136,788,1029
卓,匕早,1,zhuó zhuō,卓,,0.0025,2250,1100,0.003986481,1942,1030
朿,朿,1,cì,朿,,0,3938,989,0,4017,1031
草,艸早,3,cǎo zào,草,,0.0311,639,866,0.023054819,789,1032
脚,肉却,1,jiǎo jué,腳,,0.0267,704,933,0.023011925,790,1033
概,木既,1,gài guì jié,概,,0.0253,742,972,0.022997455,791,1034
恶,亚心,1,è wù ě wū,惡,,0.0168,934,1204,0.022993321,792,1035
块,土夬,3,kuài,塊,,0.0268,702,930,0.022984019,793,1036
顿,屯页,3,dùn dú zhūn,頓,,0.0157,977,1251,0.02295818,794,1037
屯,屯,2,tún zhūn,屯,,0.0019,2458,1075,0.001172069,2856,1038
索,廾糸,1,suǒ,索,,0.0187,881,1110,0.022410387,805,1039
匹,匚八,1,pǐ,匹,,0.0032,2034,1132,0.004147201,1908,1040
酒,水酉,4,jiǔ,酒,,0.0179,899,1162,0.022774204,797,1041
托,手乇,1,tuō,托,,0.0139,1039,1316,0.022765419,800,1042
沙,水少,2,shā shà suō,沙,,0.0205,834,1051,0.020967523,848,1043
番,釆田,1,fān pān bō fán pán pí pó,番,,0.0073,1473,966,0.007714052,1452,1044
烈,列火,5,liè,烈,,0.0242,761,993,0.022609866,802,1045
亠,亠,1,tóu,亠,,0,3938,949,0,4017,1046
缶,缶,1,fǒu guàn,缶,,0,3938,1003,6.92493E-05,3951,1047
洋,水羊,5,yáng xiáng yǎng,洋,,0.0296,660,889,0.022579376,803,1048
旁,凡方,1,páng bàng,旁,,0.0177,905,1009,0.016675623,981,1049
款,士示欠,1,kuǎn xīn,款,,0.014,1036,1310,0.022266721,807,1050
邦,丰阝,1,bāng,邦,,0.0058,1621,1108,0.008864415,1363,1051
靠,告非,3,kào,靠,,0.0265,711,937,0.022215559,808,1052
评,言平,5,píng,評,,0.0223,799,1038,0.02220419,809,1053
版,片反,3,bǎn,版,,0.0092,1300,1581,0.022145793,810,1054
宝,宀玉,4,bǎo,寶,,0.0158,972,1245,0.022137008,811,1055
座,广坐,5,zuò,座,,0.0194,853,1102,0.022125639,812,1056
释,釆𠬤,1,shì yì,釋,,0.0172,919,1190,0.022092048,813,1057
顾,厄页,1,gù,顧,,0.0205,834,1081,0.022084813,815,1058
货,化贝,2,huò,貨,,0.0212,820,1061,0.02201608,818,1059
互,互,4,hù,互,,0.033,608,836,0.022004194,819,1060
县,目木,1,xiàn xuán,縣,,0.0298,656,844,0.019848167,877,1061
伯,人白,2,bó bǎi bà,伯,,0.0175,911,1176,0.021970087,821,1062
慢,心曼,5,màn,慢,,0.023,783,1023,0.021966469,822,1063
欧,区欠,5,ōu ǒu,歐,,0.0176,906,1172,0.021965435,823,1064
换,手奂,5,huàn,換,,0.0263,716,943,0.021855877,824,1065
闻,门耳,3,wén wèn,聞,,0.0206,831,1077,0.021835722,825,1066
忙,心亡,3,máng,忙,,0.0243,759,989,0.021718412,827,1067
核,木亥,2,hé hú,核,,0.0221,802,1042,0.021676036,828,1068
疋,疋,1,pǐ yǎ shū pī,疋,,0,3938,1020,0,4017,1069
暗,日音,1,àn,暗,,0.0164,952,1219,0.021643478,829,1070
辟,卩口辛,1,bì pì mǐ pī,辟,,0.0049,1735,1013,0.003036629,2136,1071
姐,女且,3,jiě,姐,,0.0166,940,1207,0.021581981,830,1072
野,里予,2,yě,野,,0.0182,891,1145,0.021023336,845,1073
坏,土不,1,huài,壞,,0.0233,776,1014,0.021561826,832,1074
讨,言寸,1,tǎo,討,,0.0189,871,1125,0.021558726,833,1075
享,享,1,xiǎng,享,,0.0081,1402,1084,0.010764634,1227,1076
卷,龹卩,5,juàn juǎn quán,卷,,0.0107,1206,1157,0.015680811,1016,1077
奥,宀米大,1,ào yù,奧,,0.0071,1484,1535,0.016930398,972,1078
奴,女又,1,nú,奴,,0.012,1138,1037,0.008225669,1402,1079
恩,因心,3,ēn,恩,,0.013,1072,1310,0.019585123,888,1080
丽,丽,1,lí lì,麗,,0.0149,1003,1279,0.021375784,834,1081
序,广予,3,xù,序,,0.0163,957,1222,0.021254856,836,1082
升,斗,1,shēng,升,,0.0216,813,1052,0.021242453,837,1083
临,卧品,3,lín lìn,臨,,0.019,866,1118,0.021223332,839,1084
暴,日共米,1,bào pù bó,暴,,0.0128,1085,1184,0.015279269,1028,1085
亮,高儿,1,liàng,亮,,0.0256,733,961,0.021196459,840,1086
露,雨路,5,lòu lù,露,,0.0179,899,1162,0.021164418,841,1087
曷,曰匃,1,hé,曷,,0,3938,1133,7.44171E-05,3947,1088
困,囗木,1,kùn,困,,0.0202,839,1066,0.020243507,868,1089
呼,口乎,5,hū xū,呼,,0.023,783,1023,0.021037806,843,1090
味,口未,5,wèi,味,,0.0212,820,1061,0.021035222,844,1091
架,加木,4,jià,架,,0.0148,1006,1281,0.020991295,846,1092
域,土或,1,yù,域,,0.0187,881,1138,0.020979926,847,1093
掌,尚手,3,zhǎng,掌,,0.0207,830,1042,0.019497786,890,1094
掉,手卓,1,diào,掉,,0.0182,891,1151,0.020950986,849,1095
括,手舌,3,kuò guā,括,,0.0263,716,943,0.020939617,850,1096
舰,舟见,5,jiàn,艦,,0.0034,1987,2268,0.020929798,851,1097
肯,止肉,1,kěn,肯,,0.0129,1077,1343,0.020574766,860,1098
杂,九木,1,zá,雜,,0.03,651,880,0.020808353,853,1099
误,言吴,4,wù,誤,,0.0195,852,1099,0.020772695,854,1100
湾,水弯,5,wān,灣,,0.0088,1332,1621,0.020723601,855,1101
减,仌咸,3,jiǎn,減,,0.0245,755,985,0.02067709,857,1102
骨,骨,1,gǔ gū gú,骨,,0.0167,937,1042,0.01507979,1036,1103
唐,庚口,1,táng,唐,,0.0128,1085,1125,0.016928331,973,1104
编,糸扁,4,biān biǎn biàn,編,,0.0174,913,1179,0.020608874,858,1105
楚,林疋,3,chǔ,楚,,0.0153,994,1266,0.020591821,859,1106
叔,尗又,1,shū,叔,,0.012,1138,1052,0.00791198,1422,1107
测,水则,3,cè,測,,0.0264,713,939,0.020543243,861,1108
败,贝攴,2,bài,敗,,0.0132,1069,1350,0.020478645,862,1109
跑,足包,3,pǎo páo bó,跑,,0.0252,743,974,0.020411462,864,1110
梦,林夕,1,mèng méng,夢,,0.0109,1196,1473,0.020405778,865,1111
替,夫曰,1,tì,替,,0.0154,992,1093,0.013791445,1079,1112
温,水昷,5,wēn,溫,,0.0401,524,748,0.020315857,867,1113
春,𡗗日,1,chūn chǔn,春,,0.0306,643,862,0.018618218,921,1114
剑,佥刀,3,jiàn,劍,,0.0041,1859,2144,0.020164956,869,1115
渐,水斩,3,jiàn jiān chán qián,漸,,0.0254,739,967,0.020159788,870,1116
封,圭寸,1,fēng,封,,0.0299,653,884,0.020130848,871,1117
救,求攴,3,jiù,救,,0.0156,981,1256,0.020063666,872,1118
𡨄,宀工廾,1,xià sāi sài sè,𡨄,,0,3938,1057,0,4017,1119
旡,旡,1,jì,旡,,0,3938,1025,0,4017,1120
康,庚,1,kāng,康,,0.0155,987,1226,0.019277119,900,1121
枪,木仓,3,qiāng chēng,槍,,0.0152,995,1269,0.019931886,874,1122
缺,缶夬,1,quē,缺,,0.0232,778,1017,0.019899328,875,1123
楼,木娄,5,lóu lǘ,樓,,0.0156,981,1256,0.019877107,876,1124
𠂢,永,1,pài,𠂢,,0,3938,1153,0,4017,1125
毫,高毛,3,háo,毫,,0.0147,1015,1288,0.019831113,879,1126
移,禾多,1,yí chǐ yì,移,,0.0234,772,1010,0.019818193,880,1127
娘,女良,3,niáng,娘,,0.0263,716,943,0.019779434,881,1128
鲁,鱼甘,1,lǔ lǚ,魯,,0.0106,1214,1453,0.019366006,898,1129
画,田凵,1,huà,畫,,0.0405,518,742,0.01977375,883,1130
班,玨刀,2,bān,班,,0.0256,733,961,0.019705017,884,1131
宓,宀必,3,mì fú,宓,,0,3938,1069,0.00022015,3846,1132
智,知曰,4,zhì zhī,智,,0.0156,981,1256,0.019670909,885,1133
虑,虍心,1,lǜ lǘ,慮,,0.0148,1006,1255,0.019228541,901,1134
庄,广土,1,zhuāng,莊,,0.0143,1026,1090,0.015337666,1024,1135
短,矢豆,2,duǎn,短,,0.0242,761,993,0.019552049,889,1136
恐,巩心,3,kǒng,恐,,0.0099,1251,1529,0.019470397,891,1137
遗,辵贵,1,yí suí wèi,遺,,0.0159,967,1236,0.01944094,892,1138
固,囗古,4,gù,固,,0.0314,630,860,0.019421819,893,1139
席,庶巾,1,xí,席,,0.0179,899,1162,0.019420268,894,1140
松,木公,3,sōng,松,,0.0183,889,1150,0.019412,895,1141
秘,禾必,3,mì bì bié,秘,,0.0122,1123,1404,0.01941045,896,1142
谢,言射,1,xiè,謝,,0.0135,1054,1336,0.019405282,897,1143
遇,辵禺,5,yù,遇,,0.0155,987,1262,0.019298307,899,1144
幸,幸,1,xìng,幸,,0.0125,1110,1393,0.019223373,902,1145
忽,勿心,1,hū,忽,,0.0191,864,1102,0.01879961,912,1146
孙,子小,1,sūn xùn,孫,,0.0158,972,1197,0.016281832,995,1147
禸,禸,1,róu,禸,,0,3938,1066,0,4017,1148
均,土匀,5,jūn yùn,均,,0.0275,689,920,0.019039398,903,1149
销,金肖,5,xiāo,銷,,0.02,842,1088,0.019028545,904,1150
叚,石爪又,1,jiǎ jià xiá,叚,,0,3938,1310,0,4017,1151
钟,金中,5,zhōng,鐘,,0.0178,903,1169,0.019002189,905,1152
诗,言寺,3,shī,詩,,0.017,928,1200,0.018998055,906,1153
禺,禹,1,yú yù ǒu,禺,,0.0002,3788,1279,0.000907992,3039,1154
藏,艸臧,5,cáng zàng zāng,藏,,0.0157,977,1251,0.018968082,907,1155
诸,言者,2,zhū chú,諸,,0.0117,1151,1281,0.015481332,1021,1156
赶,走干,4,gǎn,趕,,0.0192,861,1115,0.018913819,908,1157
剧,居刀,4,jù,劇,,0.032,622,850,0.018906584,909,1158
乡,乡,1,xiāng xiǎng xiàng,鄉,,0.0266,706,930,0.018617185,922,1159
损,手员,1,sǔn,損,,0.015,1000,1274,0.018833717,911,1160
炮,火包,3,páo bāo pào,炮,,0.0093,1291,1573,0.018767052,914,1161
旧,臼,1,jiù,舊,,0.0252,743,974,0.018754649,915,1162
端,立耑,5,duān,端,,0.0209,826,1069,0.018724676,916,1163
探,手罙,1,tàn tān,探,,0.0194,853,1102,0.018723126,917,1164
湖,水胡,5,hú,湖,,0.0148,1006,1281,0.018662145,918,1165
叶,口十,1,yè xié shè,叶,,0.027,698,928,0.018620802,920,1166
㐫,㐫,1,nǎo nào,𡿺,,0,3938,1236,0,4017,1167
附,阝付,5,fù bù fū pǒu,附,,0.0167,937,1206,0.018581009,923,1168
吸,口及,3,xī,吸,,0.0322,619,844,0.018547935,924,1169
岸,山厂干,3,àn,岸,,0.0114,1163,1249,0.01695417,971,1170
礼,示乚,1,lǐ,禮,,0.0162,961,1228,0.018403752,926,1171
港,水巷,3,gǎng jiǎng hòng,港,,0.0094,1284,1568,0.018385665,927,1172
巩,工凡,1,gǒng,巩,,0.006,1597,1171,0.002244915,2380,1173
呀,口牙,4,yā ya,呀,,0.0336,600,825,0.018264737,929,1174
板,木反,3,bǎn,板,,0.0197,849,1095,0.018259052,930,1175
庭,广廷,5,tíng tìng,庭,,0.0181,894,1154,0.018193421,931,1176
妇,女彑,1,fù,婦,,0.0205,834,1081,0.018184635,932,1177
归,〢彑,1,guī kuì,歸,,0.0188,877,1134,0.018166548,933,1178
睛,目青,3,jīng jǐng,睛,,0.0196,851,1096,0.018129856,934,1179
饭,食反,4,fàn,飯,,0.0234,772,1010,0.018126755,935,1180
尧,土兀,1,yáo,堯,,0.001,2927,1076,0.00071058,3229,1181
敫,白放,1,jiǎo jiào,敫,,0,3938,1124,3.51414E-05,3971,1182
额,客页,3,é,額,,0.018,898,1158,0.017996009,936,1183
含,今口,1,hán,含,,0.0285,672,905,0.017962935,937,1184
顺,川页,1,shùn,順,,0.0193,858,1110,0.017936578,938,1185
亭,高丁,2,tíng,亭,,0.0033,2014,1232,0.003638684,2002,1186
输,车俞,1,shū shù,輸,,0.0166,940,1207,0.017926243,939,1187
摇,手䍃,2,yáo,搖,,0.0162,961,1228,0.017898853,940,1188
招,手召,4,zhāo qiáo sháo,招,,0.0138,1046,1323,0.017893685,941,1189
婚,女昏,5,hūn,婚,,0.0193,858,1110,0.017885933,942,1190
脱,肉兑,1,tuō tuì,脫,,0.0185,884,1143,0.017853893,943,1191
补,衣卜,5,bǔ,補,,0.0189,871,1125,0.017850792,944,1192
谓,言胃,5,wèi,謂,,0.0228,789,1027,0.01784304,945,1193
督,叔目,3,dū,督,,0.0113,1171,1445,0.017840973,946,1194
毒,丰母,1,dú dài,毒,,0.0157,977,1251,0.017837872,947,1195
油,水由,5,yóu yòu,油,,0.0278,680,914,0.017813067,948,1196
疗,疒了,4,liáo shuò,療,,0.0101,1240,1515,0.017812033,949,1197
旅,㫃从,1,lǚ,旅,,0.0112,1180,1453,0.01776914,950,1198
乔,夭〢,1,qiáo jiāo,喬,,0.0026,2218,1339,0.007290288,1488,1199
泽,水𠬤,5,zé shì duó yì,澤,,0.0137,1049,1327,0.017731415,951,1200
斩,车斤,1,zhǎn,斬,,0.0013,2743,1142,0.001986522,2459,1201
材,木才,5,cái,材,,0.03,651,880,0.017693173,952,1202
夹,大从,1,jiā jiá gā,夾,,0.0061,1575,1361,0.004947701,1758,1203
灭,火,5,miè,滅,,0.017,928,1200,0.017640461,953,1204
逐,辵豕,2,zhú dí tún zhòu,逐,,0.0263,716,943,0.017636843,954,1205
笔,竹毛,1,bǐ,筆,,0.0162,961,1228,0.017600151,956,1206
鲜,鱼羊,2,xiān xiǎn xiàn,鮮,,0.0168,934,1203,0.017425995,958,1207
龹,龹,1,juǎn juàn,龹,,0,3938,1381,0,4017,1208
词,言司,3,cí,詞,,0.0291,667,898,0.017399639,959,1209
玨,玉,1,jué,玨,,0,3938,1115,0,4017,1210
择,手𠬤,5,zé zhái,擇,,0.0144,1023,1300,0.017371732,961,1211
堂,尚土,3,táng,堂,,0.0171,925,1168,0.016726784,980,1212
寻,彑寸,1,xún xín,尋,,0.0126,1100,1382,0.017296282,962,1213
阴,阝月,1,yīn ān yìn,陰,,0.0128,1085,1327,0.01650405,987,1214
睡,目垂,3,shuì,睡,,0.0166,940,1207,0.017270959,964,1215
博,十尃,1,bó,博,,0.0094,1284,1568,0.017243053,965,1216
勒,革力,2,lè lēi,勒,,0.0076,1442,1723,0.017171736,966,1217
氶,卩廾,1,zhěng chéng zhèng,氶,,0,3938,1322,0,4017,1218
烟,火因,2,yān,煙,,0.0199,844,1090,0.017124709,967,1219
禁,林示,3,jīn jìn,禁,,0.0122,1123,1361,0.016511802,986,1220
授,手受,5,shòu,授,,0.0133,1062,1344,0.017062695,968,1221
诺,言若,3,nuò,諾,,0.0044,1812,2098,0.017049258,969,1222
伦,人仑,5,lún,倫,,0.0092,1300,1581,0.016961922,970,1223
亘,亘,1,gèn gèng,亘,,0.0004,3536,1226,0.000334877,3676,1224
俄,人我,3,é,俄,,0.0083,1381,1665,0.016866833,975,1225
炸,火乍,5,zhà zhá,炸,,0.007,1497,1771,0.016816188,976,1226
尊,酋寸,2,zūn,尊,,0.0095,1279,1293,0.012744955,1134,1227
载,𢦏车,4,zài dài zāi zǎi zī,載,,0.0123,1120,1401,0.016772778,977,1228
健,人建,5,jiàn,健,,0.0151,997,1271,0.016743322,979,1229
姑,女古,4,gū,姑,,0.0169,932,1185,0.016354699,994,1230
曹,东曰,1,cáo,曹,,0.0061,1575,1293,0.006430357,1570,1231
喝,口曷,4,hē hè yè,喝,,0.0121,1131,1412,0.016595004,983,1232
宁,宁,1,níng nìng,寧,,0.0166,940,1169,0.015504071,1019,1233
借,人昔,1,jiè,借,,0.0165,947,1212,0.016551077,984,1234
园,囗元,5,yuán,園,,0.0155,987,1262,0.016498365,988,1235
谋,言某,4,móu,謀,,0.009,1314,1596,0.016490614,989,1236
耑,耑,1,duān zhuān,耑,,0,3938,1236,5.168E-07,4006,1237
宋,宀木,1,sòng,宋,,0.0099,1251,1529,0.016406894,990,1238
避,辵辟,5,bì,避,,0.0127,1095,1376,0.016398109,991,1239
抓,手爪,4,zhuā zhāo,抓,,0.0174,913,1179,0.016369169,992,1240
荣,𫇦木,3,róng,榮,,0.0128,1085,1372,0.016362451,993,1241
逃,辵兆,3,táo,逃,,0.0089,1325,1611,0.016262195,996,1242
尃,甫寸,3,fū,尃,,0,3938,1303,0,4017,1243
跳,足兆,3,tiào táo diào tiáo,跳,,0.0199,844,1090,0.016187778,999,1244
顶,丁页,4,dǐng,頂,,0.0184,886,1147,0.016184677,1000,1245
镇,金真,4,zhèn tián zhēn,鎮,,0.0156,981,1256,0.016108193,1002,1246
垂,土𠂹,5,chuí,垂,,0.0093,1291,1098,0.006175066,1592,1247
雪,雨彑,1,xuě,雪,,0.0158,972,1245,0.016018789,1003,1248
弯,変弓,3,wān,彎,,0.007,1497,1437,0.005641743,1662,1249
练,糸𫠣,3,liàn,練,,0.0232,778,1017,0.016001218,1005,1250
爷,父卩,1,yé,爺,,0.0216,813,1052,0.015984164,1006,1251
迫,辵白,1,pò pǎi,迫,,0.0165,947,1212,0.015984164,1007,1251
篇,竹扁,3,piān,篇,,0.0109,1196,1473,0.01596556,1008,1253
嘴,口觜,5,zuǐ,嘴,,0.0201,840,1087,0.015898895,1010,1254
卬,匕卩,1,yǎng áng,卬,,0,3938,1268,0,4017,1255
赤,大火,1,chì,赤,,0.0079,1417,1357,0.005674818,1660,1256
兼,爪禾,1,jiān,兼,,0.0073,1473,1350,0.007057218,1515,1257
